"","True Classifier","Fitted Classifier","n","k","K","Balancing index","Fitting time","MeanPrecision","MicroPrecision","MacroPrecision","MacroRecall","MacroFscore"
"22","Vor","For","Mid","Small","Mid",0.133757961783439,0.326065063476562,0.96,0.88,0.903655915926035,0.824569081924064,0.862302917614677
"23","Vor","For","Mid","Mid","Small",0.0530401034928849,0.333024024963379,0.906666666666667,0.86,0.935844544095665,0.568758434547908,0.707521499605035
"24","Vor","For","Mid","Mid","Mid",0.0347826086956522,0.499039173126221,0.941333333333333,0.648,NA,0.501861747853596,NA
"25","Vor","Boo","Small","Small","Small",0.111111111111111,17.1675989627838,0.92,0.92,0.958333333333333,0.666666666666667,0.786324786324786
"26","Vor","Boo","Small","Small","Mid",0.218181818181818,17.847827911377,0.9,0.8,0.895833333333333,0.689102564102564,0.778985507246377
"27","Vor","Boo","Small","Mid","Small",0.492537313432836,17.7398459911346,0.92,0.92,0.95,0.857142857142857,0.901185770750988
"28","Vor","Boo","Small","Mid","Mid",0.0833333333333333,17.1762371063232,0.88,0.52,NA,NA,NA
"29","Vor","Boo","Mid","Small","Small",0.976284584980237,169.675587892532,0.98,0.98,0.980146256976073,0.979807692307692,0.97997694539986
"30","Vor","Boo","Mid","Small","Mid",0.129113924050633,170.828629016876,0.977333333333333,0.932,0.95467794239511,0.937194998991732,0.945855690080897
"31","Vor","Boo","Mid","Mid","Small",0.191082802547771,175.51093506813,0.917333333333333,0.876,0.874031007751938,0.809845437080374,0.840714917851538
"32","Vor","Boo","Mid","Mid","Mid",0.036281179138322,216.470056056976,0.944666666666666,0.668,0.717906320173957,0.494289164941339,0.585472095651542
"33","Vor","SVM","Small","Small","Small",0.176470588235294,0.0249850749969482,0.96,0.96,0.833333333333333,0.978260869565217,0.9
"34","Vor","SVM","Small","Small","Mid",0.02,0.0260031223297119,0.94,0.88,NA,NA,NA
"35","Vor","SVM","Small","Mid","Small",0.204819277108434,0.0260210037231445,0.96,0.96,0.977272727272727,0.875,0.923312883435583
"36","Vor","SVM","Small","Mid","Mid",0.0625,0.0470190048217773,0.93,0.72,NA,NA,NA
"37","Vor","SVM","Mid","Small","Small",0.424501424501425,0.134062051773071,0.976,0.976,0.959403820816864,0.978637611530542,0.968925274791738
"38","Vor","SVM","Mid","Small","Mid",0.0573012939001848,0.240020990371704,0.957333333333333,0.872,0.843893506039732,0.758207305308755,0.798759000244666
"39","Vor","SVM","Mid","Mid","Small",0.378181818181818,0.153033971786499,0.925333333333333,0.888,0.867207631997368,0.871802396674003,0.869498944254983
"40","Vor","SVM","Mid","Mid","Mid",0.111111111111111,0.35402512550354,0.954666666666667,0.728,0.786099350721592,0.701921496713163,0.741629438559246
"41","TreeMix","Tree","Small","Small","Small",0.818181818181818,0.0199999809265137,0.96,0.96,0.966666666666667,0.954545454545455,0.960567823343848
"42","TreeMix","Tree","Small","Small","Mid",0.386363636363636,0.0260028839111328,0.96,0.92,0.901785714285714,0.964285714285714,0.931989063568011
"43","TreeMix","Tree","Small","Mid","Small",0.754385964912281,0.0239989757537842,0.8,0.8,0.81140350877193,0.746527777777778,0.77761485826002
"44","TreeMix","Tree","Small","Mid","Mid",0.470588235294118,0.0310008525848389,0.85,0.4,NA,0.385416666666667,NA
"45","TreeMix","Tree","Mid","Small","Small",0.879699248120301,0.0349860191345215,0.86,0.86,0.855506948018528,0.864969288686348,0.860212097681823
"46","TreeMix","Tree","Mid","Small","Mid",0.453531598513011,0.0300180912017822,0.868,0.604,0.623638028638029,0.619571387547666,0.621598056932736
"47","TreeMix","Tree","Mid","Mid","Small",0.35972850678733,0.0500030517578125,0.725333333333333,0.588,0.554954112091241,0.577960431618968,0.566223674916505
"48","TreeMix","Tree","Mid","Mid","Mid",0.182857142857143,0.0750060081481934,0.892,0.352,NA,0.316987243607911,NA
